cluster,mal,seed,scheduler,policy,baseline_cluster,baseline_mal,baseline_seed,baseline_scheduler,baseline_policy,cost_savings_delta_pct,co2_savings_delta_pct,energy_savings_delta_pct,turnaround_delta_pct,turnaround_delta_s,run_cost_per_day_usd,baseline_cost_per_day_usd,run_turnaround_mean_s,baseline_turnaround_mean_s
cori_haswell,100,S0,min_steal_agreement,F10,cori_haswell,0,S0,rigid_easy_backfill,F0,-5.8710103296051575,-6.12940796848636,-5.099026332715454,-61.56835096266001,-1986.0827739087651,3117.6038018591216,2944.719042685222,1239.734943887973,3225.817717796738
cori_haswell,100,S0,min_steal_agreement,F0,cori_haswell,0,S0,rigid_easy_backfill,F0,-9.622945007722569,-10.064079894906842,-8.305018594577291,-62.50192191466083,-2016.1980710866112,3228.0877367947555,2944.719042685222,1209.619646710127,3225.817717796738
cori_haswell,100,S0,rigid_easy_backfill,F30,cori_haswell,0,S0,rigid_easy_backfill,F0,6.055929372907148,6.3508998357822515,5.174681084876903,37.05074227508126,1195.1894088847775,2766.3889372296576,2944.719042685222,4421.007126681516,3225.817717796738
cori_haswell,100,S0,rigid_easy_backfill,F10,cori_haswell,0,S0,rigid_easy_backfill,F0,2.195948519229746,2.3029081469402435,1.876397917826104,3.671570192101803,118.4381617781637,2880.0545284718996,2944.719042685222,3344.255879574902,3225.817717796738
cori_haswell,100,S0,rigid_easy_backfill,F0,cori_haswell,0,S0,rigid_easy_backfill,F0,0.2482099093918035,0.26029964613660955,0.21209083595947667,-0.023758424870254004,-0.7664034789340803,2937.40995821753,2944.719042685222,3225.051314317804,3225.817717796738
cori_haswell,100,S3,min_steal_agreement,F30,cori_haswell,0,S3,rigid_easy_backfill,F0,1.641036965867285,1.8308573431362278,1.0739331203908509,-54.74362583585324,-1765.9295815773064,2896.395230293475,2944.7191602542234,1459.8881362194318,3225.817717796738
cori_haswell,100,S3,min_steal_agreement,F10,cori_haswell,0,S3,rigid_easy_backfill,F0,-5.87936650874719,-6.138171147158054,-5.106166561610577,-61.0297593084566,-1968.708788900897,3117.8499923388717,2944.7191602542234,1257.1089288958412,3225.817717796738
cori_haswell,100,S3,min_steal_agreement,F0,cori_haswell,0,S3,rigid_easy_backfill,F0,-9.573051204919357,-10.011995794255943,-8.261668474859784,-62.45933890306651,-2014.8244207538303,3226.6186333064315,2944.7191602542234,1210.993297042908,3225.817717796738
cori_haswell,100,S3,rigid_easy_backfill,F30,cori_haswell,0,S3,rigid_easy_backfill,F0,5.968179241616556,6.2588755842105614,5.0997002293891045,42.313143663959735,1364.944885268801,2768.9730426080255,2944.7191602542234,4590.762603065539,3225.817717796738
cori_haswell,100,S3,rigid_easy_backfill,F10,cori_haswell,0,S3,rigid_easy_backfill,F0,2.1158147101539257,2.2188711990675722,1.8079250514928842,3.0417656342086885,98.12181476215619,2882.4143590888434,2944.7191602542234,3323.9395325588944,3225.817717796738
