cluster,mal,seed,scheduler,policy,run,window_start_s,window_end_s,full_shutdown_windows_count,on_windows_count,target_active_fraction,target_off_fraction,target_off_nodes,mean_on_util_percent,mean_off_util_percent,node_off_fraction_percent,node_overrun_node_hours_total,node_overrun_node_hours_per_window,node_overrun_normalized_hours_per_window
cori_knl,0,S7,rigid_easy_backfill,F30,cori_knl_mal0_S7/rigid_easy_backfill/F30,121.0,431973.0,4,3,0.7,0.30000000000000004,2906.4000000000005,97.64972703917861,77.31842872625906,22.303434876479493,23846.93333333337,5961.733333333343,2.051243233324161
cori_knl,0,S7,rigid_easy_backfill,F10,cori_knl_mal0_S7/rigid_easy_backfill/F10,121.0,431973.0,4,3,0.9,0.09999999999999998,968.7999999999998,98.03820878062271,89.4345238095235,9.124733347096065,2708.8333333332953,677.2083333333238,0.6990176851087159
cori_knl,100,S0,min_steal_agreement,F30,cori_knl_mal100_S0/min_steal_agreement/F30,37096.0,431973.0,4,3,0.7,0.30000000000000004,2906.4000000000005,99.81611701761665,70.14820202828066,29.79774162193779,627.0333333333322,156.75833333333304,0.05393556748325523
cori_knl,100,S0,min_steal_agreement,F10,cori_knl_mal100_S0/min_steal_agreement/F10,37096.0,431973.0,4,3,0.9,0.09999999999999998,968.7999999999998,99.88008504220602,90.07610897501975,9.880769594687585,369.63333333330854,92.40833333332714,0.09538432424992481
cori_knl,100,S0,rigid_easy_backfill,F30,cori_knl_mal100_S0/rigid_easy_backfill/F30,121.0,431973.0,4,3,0.7,0.30000000000000004,2906.4000000000005,96.98691178663236,71.8917733278282,27.09513917561244,9000.55000000013,2250.1375000000326,0.7742009014588604
cori_knl,100,S0,rigid_easy_backfill,F10,cori_knl_mal100_S0/rigid_easy_backfill/F10,121.0,431973.0,4,3,0.9,0.09999999999999998,968.7999999999998,98.58751734677594,89.18867090730713,9.55850128165428,1368.4999999999482,342.12499999998704,0.3531430635838017
cori_knl,100,S3,min_steal_agreement,F30,cori_knl_mal100_S3/min_steal_agreement/F30,37096.0,431973.0,4,3,0.7,0.30000000000000004,2906.4000000000005,99.81093807344712,70.64395601087173,29.332378543903108,2046.2833333333267,511.5708333333317,0.17601528809982506
cori_knl,100,S3,min_steal_agreement,F10,cori_knl_mal100_S3/min_steal_agreement/F10,37096.0,431973.0,4,3,0.9,0.09999999999999998,968.7999999999998,99.88256161689199,90.14736873795827,9.808719549958713,592.9999999999648,148.2499999999912,0.15302436003302147
cori_knl,100,S3,rigid_easy_backfill,F30,cori_knl_mal100_S3/rigid_easy_backfill/F30,121.0,431973.0,4,3,0.7,0.30000000000000004,2906.4000000000005,97.91839059202779,71.61737888797124,27.17268356041839,8763.233333333448,2190.808333333362,0.7537876181301134
cori_knl,100,S3,rigid_easy_backfill,F10,cori_knl_mal100_S3/rigid_easy_backfill/F10,121.0,431973.0,4,3,0.9,0.09999999999999998,968.7999999999998,98.86604777387907,87.49875812861274,9.730906361822186,834.0499999999552,208.5124999999888,0.21522760115605782
cori_knl,100,S7,min_steal_agreement,F30,cori_knl_mal100_S7/min_steal_agreement/F30,37096.0,431973.0,4,3,0.7,0.30000000000000004,2906.4000000000005,99.84061754518753,70.23063325763749,29.748459219309108,779.5666666666797,194.89166666666992,0.06705603725112506
cori_knl,100,S7,min_steal_agreement,F10,cori_knl_mal100_S7/min_steal_agreement/F10,37096.0,431973.0,4,3,0.9,0.09999999999999998,968.7999999999998,99.87004613381994,90.06384079101022,9.896607486925406,320.53333333331136,80.13333333332784,0.08271401045966954
cori_knl,100,S7,rigid_easy_backfill,F30,cori_knl_mal100_S7/rigid_easy_backfill/F30,121.0,431973.0,4,3,0.7,0.30000000000000004,2906.4000000000005,97.52808098793545,72.60274738508102,26.99351538845307,9316.166666666635,2329.041666666659,0.8013493210386246
cori_knl,100,S7,rigid_easy_backfill,F10,cori_knl_mal100_S7/rigid_easy_backfill/F10,121.0,431973.0,4,3,0.9,0.09999999999999998,968.7999999999998,98.00905257936587,89.04418374105435,9.39157441336361,1882.2499999999989,470.5624999999997,0.4857168662262591
cori_knl,25,S0,min_steal_agreement,F30,cori_knl_mal25_S0/min_steal_agreement/F30,37652.0,431973.0,4,3,0.7,0.30000000000000004,2906.4000000000005,98.78832060280777,70.84990774669451,29.10318607211671,2756.4333333333757,689.1083333333439,0.237100307367652
cori_knl,25,S0,min_steal_agreement,F10,cori_knl_mal25_S0/min_steal_agreement/F10,37788.0,431973.0,4,3,0.9,0.09999999999999998,968.7999999999998,99.75719532755326,90.0616150994332,9.91814938583815,253.34999999997544,63.33749999999386,0.06537727085053043
